Empresa;CNPJ;UF;Situacao;Monitorado
CENTRO INTEGRADO DE EDUCACAO LTDA;05.104.030/0001-61;SP;Ativa;Sim
CENTRO INTEGRADO DE ENSINO SUPERIOR DE FLORIANO LTDA;04.899.971/0001-76;PI;Ativa;Sim
CENTRO LOGISTICO INTEGRADO FASTCARGO LTDA;12.241.369/0001-75;SC;Ativa;Sim
CENTRO MEDICO RIOPAE LTDA;11.804.213/0001-92;RJ;Ativa;Sim
CENTRO OESTE IMPLANTES ORTOPEDICOS LTDA;07.106.761/0002-52;MS;Ativa;Sim
CENTRO OESTE IMPLANTES ORTOPEDICOS LTDA;07.106.761/0001-71;MT;Ativa;Sim
CENTRO OESTE IMPLEMENTOS PARA TRANSPORTES LTDA;25.521.683/0001-53;MG;Ativa;Sim
CENTRO PAULISTA DE ONCOLOGIA S.A.;52.164.662/0001-09;SP;Ativa;Sim
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA;61.603.387/0001-65;SP;Ativa;Sim
CENTRO SUPERIOR DE CIENCIAS DA SAUDE LTDA;38.428.487/0001-80;PB;Ativa;Sim
CENTRO SUPERIOR DE ESTUDOS DE MANHUACU LTDA;03.752.343/0001-09;MG;Ativa;Sim
CENTRO TECNOLOGICO DE EDUCACAO SENA AIRES LTDA;02.532.311/0001-27;GO;Ativa;Sim
CENTRO TECNOLOGICO DE ITAPEVI LTDA;15.492.008/0001-90;SP;Ativa;Sim
CENTRO TECNOLOGICO RANDON LTDA;39.467.936/0001-62;RS;Ativa;Sim
CENTRO TECNOLOGICO RANDON LTDA;39.467.936/0001-62;RS;Ativa;Sim
CENTRO UNIFICADO DE EDUCACAO BARRETOS LTDA;60.243.961/0001-59;SP;Ativa;Sim
CENTROACO INDUSTRIA E COMERCIO DE ACO LTDA;12.027.138/0001-63;MT;Ativa;Sim
CENTROSUL COMERCIO DE PRODUTOS MEDICOS LTDA;07.892.279/0001-04;MS;Ativa;Sim
CENTROSYSTEM - SOLUCOES EM GESTAO EMPRESARIAL LTDA;21.023.232/0001-35;DF;Ativa;Sim
CEPAR - CENTRO DE ENSINO SUPERIOR DE PARAUAPEBAS LTDA;11.366.247/0001-42;PA;Ativa;Sim
CEPEM - CENTRO DE PESQUISA DA MULHER LTDA;73.380.073/0001-20;RJ;Ativa;Sim
CEPHEID BRASIL IMPORTACAO, EXPORTACAO E COMERCIO DE PRODUTOS DE DIAGNOSTICOS LTDA.;18.628.083/0001-23;SP;Ativa;Sim
CEQ ESPECIALIDADES QUIMICAS LTDA;02.464.838/0001-61;SP;Ativa;Sim
CEQUIP IMPORTACAO E COM LTDA;07.327.166/0001-66;CE;Ativa;Sim
CERACA - COOPERATIVA DE INFRA-ESTRUTURA E DESENV. VALE DO ARACA;83.086.603/0001-85;SC;Ativa;Sim
CERAGON AMERICA LATINA LTDA.;00.538.268/0001-81;SP;Ativa;Sim
CERAMA TRANSPORTES LTDA;07.283.054/0001-50;CE;Ativa;Sim
CERAMFIX INDUSTRIA COMERCIO DE ARGAMASSAS E REJUNTES SA;07.293.000/0001-76;SC;Ativa;Sim
CERAMICA ATLAS LTDA;72.050.636/0001-59;SP;Ativa;Sim
CERAMICA BRASILEIRA CERBRAS LTDA;35.029.057/0001-06;CE;Ativa;Sim
CERAMICA CARMELO FIOR LTDA;60.519.634/0001-87;SP;Ativa;Sim
CERAMICA CRISTOFOLETTI LTDA;48.173.223/0001-87;SP;Ativa;Sim
CERAMICA FORMIGRES LTDA.;01.325.023/0001-39;SP;Ativa;Sim
CERAMICA KASPARY LTDA;90.954.892/0001-52;RS;Ativa;Sim
CERAMICA LIVRAMENTO LTDA;05.584.693/0001-20;MA;Ativa;Sim
CERAMICA LORENZETTI LTDA;75.364.455/0001-95;SC;Ativa;Sim
CERAMICA RAMOS LTDA;00.278.016/0001-60;SP;Ativa;Sim
CERAMICA SAVANE LTDA;74.562.745/0001-80;SP;Ativa;Sim
CERAMICA SERRA AZUL LTDA;07.378.783/0001-90;SE;Ativa;Sim
CERAMICA STRUFALDI LTDA;00.841.607/0001-02;SP;Ativa;Sim
CERAN - COMPANHIA ENERGETICA RIO DAS ANTAS;04.237.975/0001-99;SC;Ativa;Sim
CERAS JOHNSON LTDA;33.122.466/0007-04;AM;Ativa;Sim
CERDIA BRASIL INDUSTRIA E COMERCIO LTDA.;07.794.384/0001-00;SP;Ativa;Sim
CEREALE BRASIL AGROINDUSTRIAL LTDA;07.825.834/0001-85;SP;Ativa;Sim
CEREALISTA ALBARUSKA LTDA;87.582.169/0001-85;RS;Ativa;Sim
CEREALISTA LUDVIG LTDA;09.176.630/0001-96;SC;Ativa;Sim
CEREALISTA MARTENDAL LTDA;83.080.382/0001-38;SC;Ativa;Sim
CEREALISTA MILANI DE BARIRI LTDA;43.677.111/0001-40;SP;Ativa;Sim
CEREALISTA NARDO LTDA;56.816.085/0001-35;SP;Ativa;Sim
CEREALISTA NOVA SAFRA LIMITADA;19.592.641/0001-00;MG;Ativa;Sim
CEREALISTA SAFRASUL LTDA;64.649.064/0001-09;SP;Ativa;Sim
CEREALISTA SANTA FE LTDA;37.597.457/0001-35;TO;Ativa;Sim
CEREALISTA SANTA FE LTDA;37.597.457/0001-35;TO;Ativa;Sim
CEREALISTA TUPA LTDA;00.218.289/0001-10;GO;Ativa;Sim
CEREALISTA VISTA ALEGRE LTDA;73.252.520/0001-65;SC;Ativa;Sim
CERENNA AGROINDUSTRIAL LTDA;06.922.024/0001-84;RS;Ativa;Sim
CERES COM E TRANSPORTE DE DERIVADOS DE PETROLEO LTDA;78.695.996/0001-94;PR;Ativa;Sim
CERFOX - COOPERATIVA DE DISTRIBUICAO DE ENERGIA FONTOURA XAVIER;97.505.838/0001-79;RS;Ativa;Sim
CERMACO MATERIAL DE CONSTRUCAO LTDA;51.654.648/0001-12;SP;Ativa;Sim
CERQUEIRA COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;14.073.092/0001-44;BA;Ativa;Sim
CERRADINHO BIOENERGIA S.A.;08.322.396/0001-03;GO;Ativa;Sim
CERRADO PNEUS LTDA;05.523.987/0001-42;BA;Ativa;Sim
CERTANO COMERCIAL DE ALIMENTOS LTDA;84.961.473/0001-45;PR;Ativa;Sim
CERTEL ARTEFATOS DE CIMENTO LTDA.;11.666.729/0001-18;RS;Ativa;Sim
CERTEL ARTEFATOS DE CIMENTO LTDA.;11.666.729/0001-18;RS;Ativa;Sim
CERTISIGN CERTIFICADORA DIGITAL S.A;01.554.285/0001-75;SP;Ativa;Sim
CERTVS SOLUCOES INTEGRADAS LTDA;07.859.723/0001-90;RJ;Ativa;Sim
CERTVS SOLUCOES INTEGRADAS LTDA;07.859.723/0001-90;RJ;Ativa;Sim
CERVEJARIA BAMBOA LTDA;09.544.291/0001-53;MS;Ativa;Sim
CERVEJARIA CIDADE IMPERIAL S.A.;01.708.217/0001-13;RJ;Ativa;Sim
CERVEJARIA CIDADE IMPERIAL S.A.;31.228.003/0001-00;MG;Ativa;Sim
CERVEJARIA KAIROS LTDA;14.663.134/0001-05;SC;Ativa;Sim
CERVEJARIA LOUVADA LTDA;21.603.731/0001-00;MT;Ativa;Sim
CERVEJARIAS KAISER BRASIL LTDA;19.900.000/0001-76;SP;Ativa;Sim
CESB - CENTRO DE EDUCACAO SUPERIOR DE BRASILIA LTDA;00.422.333/0001-09;DF;Ativa;Sim
CESCOM CESCONETO COMERCIAL LTDA;27.724.509/0001-33;ES;Ativa;Sim
CESCON, BARRIEU, FLESCH & BARRETO SOCIEDADE DE ADVOGADOS;02.520.543/0001-65;SP;Ativa;Sim
CESCON, BARRIEU, FLESCH, BARRETO E TEIXEIRA DOS SANTOS - ADVOGADOS;04.819.279/0001-90;RJ;Ativa;Sim
CESCON, BARRIEU, FLESCH, BARRETO E VIANA RODRIGUES SOCIEDADE DE ADVOGADOS;10.687.865/0001-21;MG;Ativa;Sim
CESCONETTO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;11.727.497/0001-60;BA;Ativa;Sim
CESED - CENTRO DE ENSINO SUPERIOR E DESENVOLVIMENTO LTDA;02.108.023/0001-40;PB;Ativa;Sim
CESG - CENTRO DE EDUCACAO SUPERIOR DE GUANAMBI S/A;04.097.860/0001-46;BA;Ativa;Sim
CESP - COMPANHIA ENERGETICA DE SAO PAULO;60.933.603/0001-78;SP;Ativa;Sim
CESP - COMPANHIA ENERGETICA DE SAO PAULO;60.933.603/0001-78;SP;Ativa;Sim
CESTA BASICA BRASIL COMERCIO DE ALIMENTOS LTDA;04.108.518/0001-02;SP;Ativa;Sim
CESTARI INDUSTRIAL E COMERCIAL SA;52.848.868/0001-40;SP;Ativa;Sim
CESTARI INDUSTRIAL E COMERCIAL SA;52.848.868/0001-40;SP;Ativa;Sim
CESUCA - COMPLEXO DE ENSINO SUPERIOR DE CACHOEIRINHA LTDA;05.687.481/0001-79;RS;Ativa;Sim
CESUL - CENTRO SULAMERICANO DE ENSINO SUPERIOR LTDA;02.756.462/0001-69;PR;Ativa;Sim
CESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGA LTDA;79.265.617/0001-99;PR;Ativa;Sim
CESUPAR - CENTRO DE ENSINO SUPERIOR DE PARAGOMINAS LTDA;11.463.220/0001-78;PA;Ativa;Sim
CESUPI CENTRO DE ENSINO SUPERIOR DE ILHEUS LTDA;04.245.712/0001-21;BA;Ativa;Sim
CETAC CENTRO DE TOMOGRAFIA COMPUTADORIZADA LTDA;77.538.288/0001-87;PR;Ativa;Sim
CETCO DO BRASIL SERVICOS E PRODUTOS MINERAIS E DE MEIO-AMBIENTE LTDA.;08.470.309/0001-57;RJ;Ativa;Sim
CETEC SERVICOS DE SEGURANCA E VIGILANCIA LTDA;19.074.638/0001-03;RJ;Ativa;Sim
CETEL LABORATORIO CLINICO S/A;06.788.751/0001-09;PR;Ativa;Sim
CETELEM SERVICOS LTDA;03.110.600/0001-09;SP;Ativa;Sim
CETEST RIO LTDA;39.128.525/0001-42;RJ;Ativa;Sim
CETREL S.A.;14.414.973/0001-81;BA;Ativa;Sim
CETRIC CENTRAL DE TRATAMENTO DE RESIDUOS SOLIDOS, INDS E COMS DE CHAPECO LTDA;04.647.090/0001-68;SC;Ativa;Sim
CETRO SOLUCOES EM EMBALAGENS LTDA;15.287.545/0001-06;SP;Ativa;Sim
CETRUS - DIAGNOSTICO LTDA.;00.395.788/0001-82;SP;Ativa;Sim
CEUT CENTRO DE ENSINO UNIFICADO DE TERESINA LTDA;34.982.124/0001-31;PI;Ativa;Sim
CEVA FREIGHT MANAGEMENT DO BRASIL LTDA.;03.229.138/0001-55;SP;Ativa;Sim
CEVA LOGISTICS LTDA;43.854.116/0001-09;MG;Ativa;Sim
CEVAL MOVEIS LTDA - EPP;28.596.002/0001-04;N/A;Ativa;Sim
CEVAP CEREALISTA & INDUSTRIAL VALE DO PARNAIBA LTDA;69.616.290/0001-07;PI;Ativa;Sim
CEZAN EMBALAGENS LTDA;47.331.640/0001-48;SP;Ativa;Sim
CEZAR COMERCIO DE COMBUSTIVEIS LTDA;20.705.427/0001-00;PR;Ativa;Sim
CF & CO LTDA;40.284.011/0001-65;SC;Ativa;Sim
CFF INFORMATICA E PAPELARIA LTDA;11.111.756/0001-24;SP;Ativa;Sim
CG LOCACAO DE GUINDASTES LTDA.;08.226.396/0001-00;SP;Ativa;Sim
CGB ENERGIA LTDA;19.859.525/0001-05;MA;Ativa;Sim
CGG DO BRASIL PARTICIPACOES LTDA;29.339.298/0001-40;RJ;Ativa;Sim
CGO CONSULTORIA PARA EMPRESAS LTDA;02.140.364/0001-00;RJ;Ativa;Sim
CGR BRAZIL LTDA;61.853.693/0001-50;SP;Ativa;Sim
CGTF CENTRAL GERADORA TERMELETRICA FORTALEZA S.A.;04.659.917/0001-53;CE;Ativa;Sim
CGTF CENTRAL GERADORA TERMELETRICA FORTALEZA S.A.;04.659.917/0001-53;CE;Ativa;Sim
CH INTERNATIONAL DO BRASIL LTDA;04.679.642/0001-10;SP;Ativa;Sim
CHAIN SERVICOS E CONTACT CENTER S.A.;23.532.312/0001-41;SP;Ativa;Sim
CHALLENGER COMERCIO DE AUTOMOVEIS LTDA;15.102.347/0001-12;SP;Ativa;Sim
CHAMPION CAR SERVICE PNEUS E SERVICOS LTDA;21.866.570/0001-39;DF;Ativa;Sim
CHAMPION CAR SERVICE PNEUS E SERVICOS LTDA;21.866.570/0001-39;DF;Ativa;Sim
CHAMPION TECHNOLOGIES DO BRASIL SERVICOS E PRODUTOS QUIMICOS LTDA;07.379.735/0001-17;RJ;Ativa;Sim
CHAMY FRUTAS HORTIFRUTIGRANJEIROS LTDA;11.282.075/0001-29;RJ;Ativa;Sim
CHANNEL SOLUTIONS SERVICOS ADMINISTRATIVOS LTDA.;33.458.364/0001-79;RJ;Ativa;Sim
CHAPARRAL COMBUSTIVEIS E LUBRIFICANTES LTDA;75.154.633/0001-53;PR;Ativa;Sim
CHAPEMEC INDUSTRIA METALURGICA LTDA;90.996.281/0001-77;RS;Ativa;Sim
CHAPERFIL INDUSTRIA E COMERCIO LIMITADA;23.388.804/0001-05;MG;Ativa;Sim
CHARLIE 0 - AERONAUTICAL TRAINING CENTER LTDA;15.022.535/0001-30;SP;Ativa;Sim
CHARRUA-DIESEL COMERCIO E TRANSPORTE DE COMBUSTIVEIS LTDA.;89.636.591/0001-00;RS;Ativa;Sim
CHAVE SECURITIZADORA SA;45.139.331/0001-45;SP;Ativa;Sim
CHAVES EMPREENDIMENTOS PARTICIPACOES E NEGOCIOS LTDA;29.816.406/0001-29;SP;Ativa;Sim
CHD IMPORTACAO E DISTRIBUICAO DE INFORMATICA LTDA;13.332.179/0001-26;RJ;Ativa;Sim
CHECK-UP LABORATORIO DE ANALISES CLINICAS LTDA.,;01.032.209/0001-08;MG;Ativa;Sim
CHECKPOINT DO BRASIL LTDA;67.342.261/0001-60;SP;Ativa;Sim
CHEIL BRASIL COMUNICACOES LTDA;05.374.349/0001-07;SP;Ativa;Sim
CHEM-TREND INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;55.531.925/0001-50;SP;Ativa;Sim
CHEMETALL DO BRASIL LTDA;01.359.916/0004-48;SP;Ativa;Sim
CHEMICAL BRASILEIRA MODERNA LTDA;01.026.917/0001-28;SP;Ativa;Sim
CHEMICAL INDUSTRIA E COMERCIO DE PRODUTOS AGROINDUSTRIAIS LTDA;10.234.999/0001-97;PE;Ativa;Sim
CHEMICALTECH FARMACEUTICA LTDA;03.959.540/0001-95;DF;Ativa;Sim
CHEMSPECS COMERCIO E REPRESENTACOES LTDA;01.496.286/0001-00;SP;Ativa;Sim
CHEMTECH SERVICOS DE ENGENHARIA E SOFTWARE LTDA;30.127.872/0001-86;RJ;Ativa;Sim
CHEMTRADE BRASIL LTDA;03.461.875/0001-89;ES;Ativa;Sim
CHEMYUNION LTDA;58.309.709/0001-53;SP;Ativa;Sim
CHENSON COMERCIO EXTERIOR LTDA;65.514.184/0001-53;SP;Ativa;Sim
CHEP DO BRASIL LTDA;39.022.041/0001-14;SP;Ativa;Sim
CHEQUE NOBRE MERCANTIL COBRANCAS SOCIEDADE UNIPESSOAL LTDA;67.356.964/0001-48;SP;Ativa;Sim
CHEQUE-PRE.COM - TECNOLOGIA DA INFORMACAO LTDA.;03.899.868/0001-63;SP;Ativa;Sim
CHESTERTON DO BRASIL LTDA;01.724.535/0001-78;SP;Ativa;Sim
CHEVRON ORONITE BRASIL LTDA.;42.352.559/0001-20;SP;Ativa;Sim
CHG AUTOMOTIVA GOIAS LTDA;17.600.195/0002-94;GO;Ativa;Sim
CHG AUTOMOTIVA LTDA.;55.176.358/0001-61;SP;Ativa;Sim
CHIBATAO NAVEGACAO E COMERCIO LTDA;84.098.383/0001-72;AM;Ativa;Sim
CHIC EMBALAGENS LTDA;07.317.735/0001-92;SP;Ativa;Sim
CHICAGO-ENGENHARIA CONSTRUCOES E COMERCIO LTDA;01.029.312/0001-90;SP;Ativa;Sim
CHICO TORNEARIA INDUSTRIA METALURGICA LTDA;00.601.366/0001-16;RS;Ativa;Sim
CHIESI FARMACEUTICA LTDA;61.363.032/0001-46;SP;Ativa;Sim
CHIMAS INDUSTRIA E COMERCIO LTDA;03.465.719/0001-96;SC;Ativa;Sim
CHINA BRASIL TABACOS EXPORTADORA S.A.;14.432.810/0001-21;RS;Ativa;Sim
CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A;07.450.604/0001-89;SP;Ativa;Sim
CHINA DEVELOPMENT BANK RIO DE JANEIRO REPRESENTACOES LTDA.;16.688.066/0001-56;RJ;Ativa;Sim
CHINA MOBILE INTERNATIONAL (BRAZIL) HOLDINGS LTDA.;26.263.421/0001-07;SP;Ativa;Sim
CHINA THREE GORGES BRASIL ENERGIA S.A.;19.014.221/0001-47;SP;Ativa;Sim
CHIPCIA INFORMATICA LTDA;00.761.147/0001-02;BA;Ativa;Sim
CHIPUS MICROELETRONICA S.A.;10.475.890/0001-41;SC;Ativa;Sim
CHMMED PRODUTOS MEDICOS HOSPITALARES LTDA;15.343.637/0001-58;AL;Ativa;Sim
CHN DISTRIBUIDORA DE VEICULOS SA;19.046.025/0001-54;DF;Ativa;Sim
CHOCOLATES GAROTO LTDA.;28.053.619/0001-83;ES;Ativa;Sim
CHORFA VIX LTDA;29.160.302/0001-09;ES;Ativa;Sim
CHR COMERCIO DE COMBUSTIVEIS LTDA;26.517.039/0001-74;PR;Ativa;Sim
CHR HANSEN INDUSTRIA E COMERCIO LTDA;48.871.545/0001-08;SP;Ativa;Sim
CHROMA VEICULOS LTDA;02.733.732/0001-16;SP;Ativa;Sim
CHROMALOX ENGENHARIA LTDA.;30.620.767/0001-84;SP;Ativa;Sim
CHRONOS FACTORING E FOMENTO MERCANTIL EMPRESA SIMPLES DE CREDITO LTDA;16.871.970/0001-00;SP;Ativa;Sim
CHS AGRONEGOCIO - INDUSTRIA E COMERCIO LTDA;05.492.968/0001-04;SP;Ativa;Sim
CHS DISTRIBUIDORA DE VEICULOS S/A;10.570.028/0001-18;DF;Ativa;Sim
CHT BRASIL QUIMICA LTDA;47.684.386/0001-61;SP;Ativa;Sim
CHT BRASIL QUIMICA LTDA;47.684.386/0001-61;SP;Ativa;Sim
CHUBB SEGUROS BRASIL S.A.;03.502.099/0001-18;SP;Ativa;Sim
CI&T SOFTWARE S/A;00.609.634/0001-46;SP;Ativa;Sim
CI&T SOFTWARE S/A;00.609.634/0001-46;SP;Ativa;Sim
CI&T SOFTWARE S/A;00.609.634/0001-46;SP;Ativa;Sim
CIA BEAL DE ALIMENTOS;78.116.670/0001-65;PR;Ativa;Sim
CIA CANOINHAS DE PAPEL;76.827.344/0001-30;SC;Ativa;Sim
CIA DE CIMENTO ITAMBE;76.630.573/0001-60;PR;Ativa;Sim
CIA DE FERRO LIGAS DA BAHIA FERBASA;15.141.799/0001-03;BA;Ativa;Sim
CIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;17.245.234/0001-00;MG;Ativa;Sim
CIA DE GAS DO CEARA CEGAS;73.759.185/0001-96;CE;Ativa;Sim
CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;43.776.517/0001-80;SP;Ativa;Sim
CIA FERRASA DE EMPREENDIMENTOS TURISTICOS;19.046.302/0001-29;SP;Ativa;Sim
CIA HISPANO BRASILEIRA DE PELOTIZACAO HISPANOBRAS;27.240.092/0001-33;ES;Ativa;Sim
CIA INDUSTRIAL H. CARLOS SCHNEIDER;84.709.955/0001-02;SC;Ativa;Sim
CIA ITALO BRASILEIRA DE PELOTIZACAO ITABRASCO;27.063.874/0001-44;ES;Ativa;Sim
CIA ITAU DE CAPITALIZACAO;23.025.711/0001-16;SP;Ativa;Sim
CIA LATINO AMERICANA DE MEDICAMENTOS;84.683.481/0001-77;SC;Ativa;Sim
CIA PARANA DE ALIMENTOS S/A;76.260.017/0001-40;PR;Ativa;Sim
CIA. IGUACU DE CAFE SOLUVEL;76.255.926/0001-90;PR;Ativa;Sim
CIA. SANEAMENTO DE JUNDIAI;01.201.289/0001-70;SP;Ativa;Sim
CIACOM LTDA;05.074.024/0001-09;PE;Ativa;Sim
CIAFAL - COMERCIO E INDUSTRIA DE ARTEFATOS DE FERRO E ACO S/A EM RECUPERACAO JUDICIAL;20.146.676/0003-67;MG;Ativa;Sim
CIAGRO ALIMENTOS LTDA;09.435.342/0001-09;RS;Ativa;Sim
CIAPETRO DISTRIBUIDORA DE COMBUSTIVEIS LTDA;01.466.091/0021-61;PR;Ativa;Sim
CIAPLAST COMPANHIA DE PLASTICOS INDUSTRIA E COMERCIO LTDA;02.779.315/0001-04;BA;Ativa;Sim
CIARAMA MAQUINAS LTDA;04.410.878/0001-56;MS;Ativa;Sim
CIATECNICA SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA;14.904.040/0001-72;SP;Ativa;Sim
CIATEX IMPORTACAO E EXPORTACAO LTDA;10.572.818/0001-32;SC;Ativa;Sim
CIAVENA COMERCIAL ARAPONGAS DE VEICULO NACIONAL LTDA;75.398.875/0001-92;PR;Ativa;Sim
CIAVENA COMERCIAL ARAPONGAS DE VEICULO NACIONAL LTDA;75.398.875/0001-92;PR;Ativa;Sim
CIB CONSULTORIA ADMINISTRACAO E PARTICIPACOES S/A.;07.271.850/0001-73;SP;Ativa;Sim
CIBER EQUIPAMENTOS RODOVIARIOS LTDA;92.678.093/0001-26;RS;Ativa;Sim
CIBER EQUIPAMENTOS RODOVIARIOS LTDA;92.678.093/0001-26;RS;Ativa;Sim
CIBERIAN TECNOLOGIA DA INFORMACAO LTDA;04.589.357/0001-08;BA;Ativa;Sim
CIC DO BRASIL - CREDIT INDUSTRIEL ET COMMERCIAL - CONSULTORIA FINANCEIRA LTDA.;07.708.676/0001-83;SP;Ativa;Sim
CICAL ADMINISTRADORA DE CONSORCIOS LTDA;00.266.031/0001-99;GO;Ativa;Sim
CICAL AUTO LOCADORA LTDA;24.850.562/0001-92;GO;Ativa;Sim
CICAL MOTONAUTICA LTDA;01.204.551/0001-30;GO;Ativa;Sim
CICAL VEICULOS LTDA;01.722.061/0001-25;SP;Ativa;Sim
CICAL VEICULOS LTDA;01.534.056/0001-99;GO;Ativa;Sim
CICLO AMBIENTAL LTDA;10.877.732/0001-18;PE;Ativa;Sim
CICLO CAIRU LTDA;02.513.526/0001-09;RO;Ativa;Sim
CICLO LOGISTICA LTDA.;13.393.220/0001-74;SP;Ativa;Sim
CICLO MED DO BRASIL LTDA.;04.737.413/0001-04;PR;Ativa;Sim
CICLOPE COMPONENTES AUTOMOTIVOS LTDA;71.337.356/0001-63;MG;Ativa;Sim
CICLOPE COMPONENTES AUTOMOTIVOS LTDA;71.337.356/0001-63;MG;Ativa;Sim
CICLUS AMBIENTAL DO BRASIL S.A.;10.319.900/0001-50;RJ;Ativa;Sim
CID PRODUTOS LTDA;77.509.511/0001-68;SC;Ativa;Sim
CIDA - CENTRO INDUSTRIAL DO ACO LTDA;06.188.651/0001-33;MG;Ativa;Sim
CIDA - CENTRO INDUSTRIAL DO ACO LTDA;06.188.651/0001-33;MG;Ativa;Sim
CIDADE ALTA TRANSPORTES E TURISMO LTDA;70.227.608/0001-39;PE;Ativa;Sim
CIDADE SERVICOS E MAO DE OBRA ESPECIALIZADA LTDA EM RECUPERACAO JUDICIAL;26.414.755/0001-26;DF;Ativa;Sim
CIE AUTOMETAL SALTO INDUSTRIA E COMERCIO LTDA.;02.511.054/0001-47;SP;Ativa;Sim
CIELO S.A - INSTITUICAO DE PAGAMENTO;01.027.058/0001-91;SP;Ativa;Sim
CIEM TRANSPORTE E LOGISTICA LTDA;12.054.020/0001-24;GO;Ativa;Sim
CIENA COMMUNICATIONS BRASIL LTDA;11.523.224/0001-02;SP;Ativa;Sim
CIENLABOR INDUSTRIA E COMERCIO LTDA - FILIAL;28.142.800/0028-8;SP;Ativa;Sim
CIENLABOR INDUSTRIA E COMÉRCIO LTDA.;28.142.800/0010-5;PB;Ativa;Sim
CIENTIFICA MEDICA HOSPITALAR LTDA;07.847.837/0001-10;GO;Ativa;Sim
CIERS - DISTRIBUIDORA DE ALIMENTOS LTDA.;93.111.854/0001-26;RS;Ativa;Sim
CIESPI-CENTRO INTEGRADO DE EDUCACAO SUPERIOR DO PIAUI LTDA;07.228.846/0001-22;PI;Ativa;Sim
CIESPT ENSINO SUPERIOR DE ITAPETININGA LTDA.;01.175.049/0001-48;SP;Ativa;Sim
CIFAL COMERCIAL DE TABACOS LTDA;20.024.291/0001-65;SP;Ativa;Sim
CIFERAL INDUSTRIA DE ONIBUS LTDA;30.314.561/0001-26;RJ;Ativa;Sim
CIGEL INDUSTRIAL LTDA;03.773.027/0001-05;CE;Ativa;Sim
CIIS - COMPANHIA DE INVESTIMENTOS EM INFRAESTRUTURA E SERVICOS;05.410.674/0001-88;SP;Ativa;Sim
CIL - COMERCIO DE INFORMATICA LTDA;24.073.694/0005-89;CE;Ativa;Sim
CILLEN INDUSTRIA E COMERCIO DE PRODUTOS MEDICO-HOSPITALARES LTDA.;05.677.072/0001-91;SP;Ativa;Sim
CIM EDUCACAO INFANTIL E FUNDAMENTAL LTDA;67.989.301/0001-60;SP;Ativa;Sim
CIMAR - CIMENTOS DO MARANHAO S.A.;15.129.010/0001-07;MA;Ativa;Sim
CIMAVEL - ADMINISTRADORA DE CONSORCIOS LTDA;13.170.428/0001-24;SE;Ativa;Sim
CIMAVEL COMERCIO IMPORTACAO MAQUINAS E VEICULOS LTDA;13.004.684/0001-41;SE;Ativa;Sim
CIMCAL COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;20.146.320/0001-61;MG;Ativa;Sim
CIMCOP S/A - ENGENHARIA E CONSTRUCOES;17.161.464/0001-82;MG;Ativa;Sim
CIMCOP S/A - ENGENHARIA E CONSTRUCOES;17.161.464/0001-82;MG;Ativa;Sim
CIMED & CO. S.A.;16.619.378/0001-08;SP;Ativa;Sim
CIMED INDUSTRIA S.A.;02.814.497/0001-07;SP;Ativa;Sim
CIMEMPRIMO DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO LTDA;56.727.795/0001-99;SP;Ativa;Sim
CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL;33.039.223/0001-11;RJ;Ativa;Sim
CIMI SUPERMERCADO LTDA;10.358.295/0001-26;SP;Ativa;Sim
CIMOAGRO-COMERCIO E REPRESENTACAO AGROPECUARIA LTDA.;02.523.485/0001-23;SP;Ativa;Sim
CIMOL - COMERCIO E INDUSTRIA DE MOVEIS LTDA;36.398.527/0001-63;ES;Ativa;Sim
CIMSAL COM E IND DE MOAGEM E REFINACAO STA CECILIA LTDA;08.348.609/0001-68;RN;Ativa;Sim
CIMTECH INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS ORTOPEDICOS LTDA;11.134.261/0001-10;SP;Ativa;Sim
CINEMA ARTEPLEX LTDA.;04.969.463/0001-17;SP;Ativa;Sim
CINEMARK BRASIL S.A.;00.779.721/0001-41;SP;Ativa;Sim
CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA.;09.652.820/0001-32;SP;Ativa;Sim
CINEX FRANCHISING E SERVICOS DE MONTAGEM DE MOVEIS E ESQUADRIAS LTDA;17.814.738/0001-95;RS;Ativa;Sim
CINNECTA DO BRASIL SOLUCOES EM TECNOLOGIA S.A.;17.605.912/0001-90;MG;Ativa;Sim
CINPAL COMPANHIA INDUSTRIAL DE PECAS PARA AUTOMOVEIS;49.656.192/0001-88;SP;Ativa;Sim
CINQ TECHNOLOGIES LTDA;04.358.494/0001-31;PR;Ativa;Sim
CIP S.A.;44.393.564/0001-07;SP;Ativa;Sim
