Empresa;CNPJ;UF;Situacao;Monitorado
A GERADORA ALUGUEL DE MAQUINAS S.A.;33.845.322/0001-90;BA;Ativa;Sim
A GUSTAVO DE BARROS EPP;54.923.720/0010-4;RN;Ativa;Sim
A J B TRANSPORTES LTDA;78.724.135/0001-97;PR;Ativa;Sim
A J CIULLA RAUPP & CIA LTDA - EPP;10.137.070/0010-3;RS;Ativa;Sim
A J RORATO & CIA LTDA;76.295.344/0001-37;PR;Ativa;Sim
A M COMERCIAL DE PETROLEO LTDA;35.031.996/0001-87;CE;Ativa;Sim
A M DIESEL LTDA;03.018.877/0001-06;CE;Ativa;Sim
A M DIESEL LTDA;03.018.877/0001-06;CE;Ativa;Sim
A MADEIRA INDUSTRIA E COMERCIO LTDA;28.154.862/0001-98;ES;Ativa;Sim
A MUNDIAL FERRAGENS LTDA;19.674.019/0001-41;MG;Ativa;Sim
A NOSSA DROGARIA DE CAXIAS LTDA;28.763.118/0001-90;RJ;Ativa;Sim
A S BRANDAO REPRESENTACOES;02.593.293/0001-93;CE;Ativa;Sim
A SERENATA LTDA;17.220.054/0001-65;MG;Ativa;Sim
A T S - TERCEIRIZACAO DE MAO DE OBRA LTDA;07.473.964/0001-04;SP;Ativa;Sim
A TRIBUNA DE SANTOS JORNAL E EDITORA LIMITADA;58.183.401/0001-04;SP;Ativa;Sim
A&B LOCADORA DE VEICULOS LTDA;28.403.305/0001-63;SC;Ativa;Sim
A&C CLINICA MEDICA LTDA;26.840.388/0001-22;DF;Ativa;Sim
A&C FISIOTERAPIA E DESENVOLVIMENTO LTDA;47.874.871/0001-06;DF;Ativa;Sim
A&P NEGOCIOS E SERVICOS DE APOIO ADMINISTRATIVO LTDA;19.181.972/0001-58;SP;Ativa;Sim
A&S TECHNOLOGIES INDUSTRIA E COMERCIO LTDA;26.658.111/0001-83;SP;Ativa;Sim
A-TRACAO COMERCIAL LTDA;05.454.602/0001-32;SP;Ativa;Sim
A. ANGELONI & CIA. LTDA;83.646.984/0001-00;SC;Ativa;Sim
A. BRASIL COMERCIAL EXPORTADORA E IMPORTADORA LTDA.;05.855.243/0001-25;SC;Inativa;Sim
A. C. DE SOUZA TEIXEIRA & CIA LTDA;05.791.416/0001-99;BA;Ativa;Sim
A. CASTING SERVICOS EFETIVOS E TEMPORARIOS LTDA;07.028.984/0001-68;SP;Ativa;Sim
A. CONSTANCIO SERVICOS LTDA;31.751.386/0001-05;ES;Ativa;Sim
A. G. M. PRESTADORA DE SERVICOS LTDA;05.239.984/0001-81;SP;Ativa;Sim
A. GRINGS S.A.;97.755.177/0001-30;RS;Ativa;Sim
A. M. A. - COMERCIO DE ALIMENTOS LTDA;04.126.722/0001-48;SP;Ativa;Sim
A. PILGER & CIA LTDA;09.451.921/0001-45;PR;Ativa;Sim
A. RAYMOND BRASIL LTDA;01.144.384/0001-89;SP;Ativa;Sim
A. REGIAO TOCANTINA DE EDUCACAO E CULTURA LTDA.;69.441.194/0001-67;MA;Ativa;Sim
A. SCHULMAN PLASTICOS DO BRASIL LTDA.;02.376.055/0008-00;SP;Ativa;Sim
A. V. COMERCIO DE MATERIAIS MEDICO CIRURGICOS LTDA.;18.880.225/0001-45;CE;Ativa;Sim
A. YOSHII MARINGA ENGENHARIA LTDA;11.419.911/0001-74;PR;Ativa;Sim
A.C. NIELSEN DO BRASIL LTDA;33.000.159/0001-65;SP;Ativa;Sim
A.C.MED-COM.DE MAT.MEDICOS E HOSPITALARES LTDA;68.085.570/0001-65;SP;Ativa;Sim
A.C.P. INDUSTRIA DE MOVEIS LTDA;30.746.945/0001-18;ES;Ativa;Sim
A.J. BENEFICIAMENTO TEXTIL LTDA;02.548.987/0001-09;SC;Ativa;Sim
A.J. BENEFICIAMENTO TEXTIL LTDA;02.548.987/0001-09;SC;Ativa;Sim
A.J. DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO LTDA;18.717.472/0001-25;MS;Ativa;Sim
A.M. COM. DE DERIVADOS DE PETROLEO LTDA;04.809.887/0001-14;PA;Ativa;Sim
A.M.A LOCACOES E SERVICOS LTDA;19.518.491/0001-95;SC;Ativa;Sim
A.M.C. TEXTIL LTDA.;75.364.570/0001-60;SC;Ativa;Sim
A.M.S. AUTO POSTO LTDA;03.446.890/0001-58;SP;Ativa;Sim
A.N.T. FERRAMENTAS - COMERCIAL E IMPORTADORA LTDA;74.671.991/0001-70;SP;Ativa;Sim
A.P. TORTELLI COM PRODUTOS MEDICOS HOSPITALARES LTDA;78.451.614/0001-87;PR;Ativa;Sim
A.S PRODUTORA DE PROTEINA VEGETAL DO TOCANTINS LTDA;26.662.449/0001-09;TO;Ativa;Sim
A.S.E.ASSESSORIA E SERVICOS EMPRESARIAIS LTDA;74.491.747/0001-26;SP;Ativa;Sim
A.T. KEARNEY CONSULTORIA DE GESTAO EMPRESARIAL LTDA.;73.142.705/0001-17;SP;Ativa;Sim
A.T. KEARNEY CONSULTORIA DE GESTAO EMPRESARIAL LTDA.;73.142.705/0001-17;SP;Ativa;Sim
A.T.C ATACADO DO COSMETICO LTDA;20.918.597/0001-65;SP;Ativa;Sim
A.TONANNI CONSTRUCOES E SERVICOS LTDA;50.583.954/0001-42;SP;Ativa;Sim
A.W. FABER CASTELL S.A.;59.596.908/0001-52;SP;Ativa;Sim
A100 ROW SERVICOS DE DADOS BRASIL LTDA.;12.147.176/0001-50;SP;Ativa;Sim
A21 MOTORS LTDA;03.518.732/0001-66;SP;Ativa;Sim
A3M EDUCACAO LTDA;10.972.337/0001-14;SP;Ativa;Sim
A5 SOLUTIONS SERVICOS E COMERCIO EM TELECOMUNICACOES LTDA.;08.571.310/0001-78;SP;Ativa;Sim
A7 DISTRIBUIDORA DE MEDICAMENTOS LTDA;12.664.453/0001-00;GO;Ativa;Sim
